ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N°interpretations,Strength,resources,Metaphor_log_likelihood_norm,Simile_log_likelihood_norm,Simile_come_cloze_surprisal,source_llm,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0
70,storia,ruota,,La storia è una ruota.,La storia è come una ruota.,carro,6.0,,,,5.0,1662.0,160.0,2.963,4.416,4.0,3.933,3.467,6.067,0.631,1.619,5.0,Bambini et al. (2024),-4.270833333333333,-3.8392857142857135,6.875,sapienzanlp/Minerva-1B-base-v1.0,-4.4375,-4.214285714285714,6.375,sapienzanlp/Minerva-350M-base-v1.0
71,strada,groviera,,La strada è una groviera.,La strada è come una groviera.,parmigiano,6.0,,,,8.0,1293.0,,4.595,,2.235,3.471,3.588,5.667,0.818,1.333,4.5,Bambini et al. (2024),-3.71875,-3.555555555555556,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-3.625,-4.027777777777778,6.6875,sapienzanlp/Minerva-350M-base-v1.0
72,stress,bomba,,Lo stress è una bomba.,Lo stress è come una bomba.,mina,6.0,,,,5.0,81.0,210.0,3.088,4.606,3.867,3.267,3.6,5.6,0.862,1.8,4.818,Bambini et al. (2024),-4.729166666666667,-3.982142857142857,7.125,sapienzanlp/Minerva-1B-base-v1.0,-4.625,-4.107142857142857,6.8125,sapienzanlp/Minerva-350M-base-v1.0
73,svago,oasi,,Lo svago è un'oasi.,Lo svago è come un'oasi.,palma,5.0,,,,4.0,28.0,24.0,3.178,3.416,4.067,2.267,4.333,4.8,0.646,1.1,4.375,Bambini et al. (2024),-3.7222222222222223,-3.575,7.15625,sapienzanlp/Minerva-1B-base-v1.0,-3.9444444444444446,-3.675,6.9375,sapienzanlp/Minerva-350M-base-v1.0
74,tacco,trampolo,,Il tacco è un trampolo.,Il tacco è come un trampolo.,circo,5.0,,,,8.0,41.0,1.0,4.2,,5.133,1.867,5.0,3.8,0.547,1.9,5.583,Bambini et al. (2024),-3.75,-4.025,7.0625,sapienzanlp/Minerva-1B-base-v1.0,-4.638888888888889,-4.2,6.9375,sapienzanlp/Minerva-350M-base-v1.0
75,talento,diamante,,Il talento è un diamante.,Il talento è come un diamante.,diadema,7.0,,,,8.0,141.0,30.0,3.057,4.213,3.933,3.2,3.733,6.267,0.62,2.1,5.471,Bambini et al. (2024),-3.9642857142857135,-3.484375,7.25,sapienzanlp/Minerva-1B-base-v1.0,-4.0,-3.34375,6.03125,sapienzanlp/Minerva-350M-base-v1.0
76,tempo,torrente,,Il tempo è un torrente.,Il tempo è come un torrente.,ghiaia,5.0,,,,8.0,3598.0,33.0,2.914,4.344,4.467,2.6,5.2,5.467,0.805,1.45,5.455,Bambini et al. (2024),-4.553571428571429,-3.609375,6.875,sapienzanlp/Minerva-1B-base-v1.0,-4.017857142857143,-3.578125,6.65625,sapienzanlp/Minerva-350M-base-v1.0
77,tradimento,ferita,,Il tradimento è una ferita.,Il tradimento è come una ferita.,cerotto,10.0,,,,6.0,91.0,92.0,3.093,4.093,5.333,1.933,4.667,5.467,0.738,1.5,6.0,Bambini et al. (2024),-3.5357142857142856,-3.578125,6.875,sapienzanlp/Minerva-1B-base-v1.0,-3.5714285714285716,-3.421875,5.875,sapienzanlp/Minerva-350M-base-v1.0
78,tramonto,fuoco,,Il tramonto è un fuoco.,Il tramonto è come un fuoco.,cenere,8.0,,,,5.0,68.0,609.0,3.857,4.179,4.176,1.941,5.176,5.067,0.687,1.333,5.882,Bambini et al. (2024),-4.9375,-4.482142857142857,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-5.0,-4.5,6.5625,sapienzanlp/Minerva-350M-base-v1.0
79,umiliazione,tatuaggio,,L'umiliazione è un tatuaggio.,L'umiliazione è come un tatuaggio.,disegno,11.0,,,,9.0,29.0,22.0,2.844,4.512,1.4,3.8,2.2,6.0,0.73,1.095,4.6,Bambini et al. (2024),-3.7777777777777777,-3.45,7.09375,sapienzanlp/Minerva-1B-base-v1.0,-3.4305555555555554,-3.0625,6.875,sapienzanlp/Minerva-350M-base-v1.0
80,vaccino,ombrello,,Il vaccino è un ombrello.,Il vaccino è come un ombrello.,pioggia,7.0,,,,8.0,9.0,31.0,4.112,4.649,3.467,3.581,2.53,5.333,0.831,1.368,5.222,Bambini et al. (2024),-4.75,-3.703125,7.46875,sapienzanlp/Minerva-1B-base-v1.0,-4.428571428571429,-3.921875,6.75,sapienzanlp/Minerva-350M-base-v1.0
81,verità,torcia,,La verità è una torcia.,La verità è come una torcia.,grotta,6.0,,,,6.0,519.0,21.0,2.504,4.651,3.4,3.2,3.267,5.2,0.758,1.5,5.235,Bambini et al. (2024),-4.375,-3.90625,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-4.428571428571429,-3.6875,6.5,sapienzanlp/Minerva-350M-base-v1.0
82,vino,rubino,,Il vino è un rubino.,Il vino è come un rubino.,gioiello,4.0,,,,6.0,283.0,7.0,4.204,4.161,2.765,3.647,3.765,4.933,0.574,1.556,5.647,Bambini et al. (2024),-4.25,-4.03125,6.90625,sapienzanlp/Minerva-1B-base-v1.0,-4.285714285714286,-3.5625,7.375,sapienzanlp/Minerva-350M-base-v1.0
83,vita,altalena,,La vita è un'altalena.,La vita è come un'altalena.,parco,4.0,,,,8.0,2829.0,17.0,2.883,4.312,5.333,2.133,4.067,5.133,0.777,1.7,4.917,Bambini et al. (2024),-2.611111111111111,-2.4375,7.0,sapienzanlp/Minerva-1B-base-v1.0,-2.736111111111111,-2.475,6.3125,sapienzanlp/Minerva-350M-base-v1.0
84,azienda,organismo,A business is a living organism.,Un'azienda è un organismo vivente.,Un'azienda è come un organismo vivente.,,,1.79,3.76,High,,,,,,,,,,,,,Jones and Estes (2006),-3.111111111111111,-3.0125,7.3125,sapienzanlp/Minerva-1B-base-v1.0,-3.1944444444444446,-3.075,6.6875,sapienzanlp/Minerva-350M-base-v1.0
85,cucina,organismo,A kitchen is a living organism.,Una cucina è un organismo vivente.,Una cucina è come un organismo vivente.,,,1.79,2.85,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.921875,-3.638888888888889,7.375,sapienzanlp/Minerva-1B-base-v1.0,-3.75,-3.4583333333333335,6.5,sapienzanlp/Minerva-350M-base-v1.0
86,portiere,ragno,A goalie is a spider.,Un portiere è un ragno.,Un portiere è come un ragno.,,,1.82,3.27,High,,,,,,,,,,,,,Jones and Estes (2006),-5.035714285714286,-4.5,6.75,sapienzanlp/Minerva-1B-base-v1.0,-4.571428571428571,-4.03125,6.59375,sapienzanlp/Minerva-350M-base-v1.0
87,pescatore,ragno,A fisherman is a spider.,Un pescatore è un ragno.,Un pescatore è come un ragno.,,,1.82,1.76,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.3125,-4.333333333333333,6.21875,sapienzanlp/Minerva-1B-base-v1.0,-4.3125,-4.0,6.5625,sapienzanlp/Minerva-350M-base-v1.0
88,macchina,barca,His old car is a boat.,La sua vecchia macchina è una barca.,La sua vecchia macchina è come una barca.,,,2.42,3.21,High,,,,,,,,,,,,,Jones and Estes (2006),-5.3125,-4.972222222222222,6.46875,sapienzanlp/Minerva-1B-base-v1.0,-5.09375,-4.888888888888889,6.78125,sapienzanlp/Minerva-350M-base-v1.0
89,tosaerba,barca,His old lawn mower is a boat.,Il suo vecchio tosaerba è una barca.,Il suo vecchio tosaerba è come una barca.,,,2.42,2.61,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.725,-4.386363636363637,6.4375,sapienzanlp/Minerva-1B-base-v1.0,-4.825,-4.545454545454546,7.1875,sapienzanlp/Minerva-350M-base-v1.0
90,castori,boscaioli,Beavers are lumberjacks.,I castori sono boscaioli.,I castori sono come boscaioli.,,,2.58,5.24,High,,,,,,,,,,,,,Jones and Estes (2006),-3.7222222222222223,-4.15,7.25,sapienzanlp/Minerva-1B-base-v1.0,-4.222222222222222,-3.875,6.5625,sapienzanlp/Minerva-350M-base-v1.0
91,termiti,boscaioli,Termites are lumberjacks.,Le termiti sono boscaioli.,Le termiti sono come boscaioli.,,,2.58,4.18,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.083333333333333,-4.15,7.0,sapienzanlp/Minerva-1B-base-v1.0,-4.25,-4.075,6.96875,sapienzanlp/Minerva-350M-base-v1.0
92,stomaci,botti,Some stomachs are barrels.,Alcuni stomaci sono botti.,Alcuni stomaci sono come botti.,,,2.64,4.7,High,,,,,,,,,,,,,Jones and Estes (2006),-7.5,-6.25,7.25,sapienzanlp/Minerva-1B-base-v1.0,-7.208333333333333,-6.535714285714286,6.6875,sapienzanlp/Minerva-350M-base-v1.0
93,vesciche,botti,Some bladders are barrels.,Alcune vesciche sono botti.,Alcune vesciche sono come botti.,,,2.64,3.59,Low,,,,,,,,,,,,,Jones and Estes (2006),-7.0,-6.375,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-6.464285714285714,-5.84375,6.875,sapienzanlp/Minerva-350M-base-v1.0
94,lezioni,sonniferi,Some lectures are sleeping pills.,Alcune lezioni sono sonniferi.,Alcune lezioni sono come sonniferi.,,,2.67,6.09,High,,,,,,,,,,,,,Jones and Estes (2006),-6.142857142857143,-5.46875,6.5625,sapienzanlp/Minerva-1B-base-v1.0,-5.892857142857143,-5.15625,6.46875,sapienzanlp/Minerva-350M-base-v1.0
95,comici,sonniferi,Some comedians are sleeping pills.,Alcuni comici sono sonniferi.,Alcuni comici sono come sonniferi.,,,2.67,3.31,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.40625,-4.861111111111111,6.375,sapienzanlp/Minerva-1B-base-v1.0,-4.6875,-4.527777777777778,6.25,sapienzanlp/Minerva-350M-base-v1.0
96,ricerca,alpinismo,Research is mountain climbing.,La ricerca è l'alpinismo.,La ricerca è come l'alpinismo.,,,2.97,4.27,High,,,,,,,,,,,,,Jones and Estes (2006),-4.083333333333333,-3.625,7.1875,sapienzanlp/Minerva-1B-base-v1.0,-3.9166666666666665,-3.8,7.375,sapienzanlp/Minerva-350M-base-v1.0
97,valutazione,alpinismo,Grading is mountain climbing.,La valutazione è l'alpinismo.,La valutazione è come l'alpinismo.,,,2.97,2.9,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.666666666666667,-3.825,6.625,sapienzanlp/Minerva-1B-base-v1.0,-4.055555555555555,-3.8,6.78125,sapienzanlp/Minerva-350M-base-v1.0
98,sguardo,ghiaccio,Her unflinching gaze is ice.,Il suo sguardo impassibile è ghiaccio.,Il suo sguardo impassibile è come ghiaccio.,,,3.0,4.48,High,,,,,,,,,,,,,Jones and Estes (2006),-4.916666666666667,-4.45,6.59375,sapienzanlp/Minerva-1B-base-v1.0,-4.361111111111111,-4.3,6.28125,sapienzanlp/Minerva-350M-base-v1.0
99,cenno,ghiaccio,Her quick nod is ice.,Il suo rapido cenno è ghiaccio.,Il suo rapido cenno è come ghiaccio.,,,3.0,3.61,Low,,,,,,,,,,,,,Jones and Estes (2006),-6.34375,-5.888888888888889,6.65625,sapienzanlp/Minerva-1B-base-v1.0,-6.0625,-6.166666666666667,6.5625,sapienzanlp/Minerva-350M-base-v1.0
100,madre,mulo,Her mother is a mule.,Sua madre è un mulo.,Sua madre è come un mulo.,,,3.0,3.17,High,,,,,,,,,,,,,Jones and Estes (2006),-4.232142857142857,-4.1875,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-5.178571428571429,-5.0625,6.8125,sapienzanlp/Minerva-350M-base-v1.0
101,parrucchiere,mulo,Her hairdresser is a mule.,Il suo parrucchiere è un mulo.,Il suo parrucchiere è come un mulo.,,,3.0,2.03,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.85,-3.977272727272727,6.375,sapienzanlp/Minerva-1B-base-v1.0,-3.8,-3.5681818181818183,7.0,sapienzanlp/Minerva-350M-base-v1.0
102,insulti,rasoi,Insults are razors.,Gli insulti sono rasoi.,Gli insulti sono come rasoi.,,,3.18,5.41,High,,,,,,,,,,,,,Jones and Estes (2006),-4.65625,-4.305555555555555,7.1875,sapienzanlp/Minerva-1B-base-v1.0,-4.4375,-3.8333333333333335,7.0625,sapienzanlp/Minerva-350M-base-v1.0
103,valutazioni,rasoi,Evaluations are razors.,Le valutazioni sono rasoi.,Le valutazioni sono come rasoi.,,,3.18,3.52,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.785714285714286,-5.25,6.75,sapienzanlp/Minerva-1B-base-v1.0,-6.0,-4.96875,7.125,sapienzanlp/Minerva-350M-base-v1.0
104,fumo,bomba,Smoking is a time bomb.,Il fumo è una bomba a orologeria.,Il fumo è come una bomba a orologeria.,,,3.18,5.24,High,,,,,,,,,,,,,Jones and Estes (2006),-2.85,-2.840909090909091,7.125,sapienzanlp/Minerva-1B-base-v1.0,-2.7875,-2.715909090909091,6.4375,sapienzanlp/Minerva-350M-base-v1.0
105,cocaina,bomba,Cocaine is a time bomb.,La cocaina è una bomba a orologeria.,La cocaina è come una bomba a orologeria.,,,3.18,4.66,Low,,,,,,,,,,,,,Jones and Estes (2006),-2.7954545454545454,-2.6875,6.875,sapienzanlp/Minerva-1B-base-v1.0,-2.784090909090909,-2.75,6.5,sapienzanlp/Minerva-350M-base-v1.0
106,istruzione,lanterna,Education is a lantern.,L'istruzione è una lanterna.,L'istruzione è come una lanterna.,,,3.21,5.17,High,,,,,,,,,,,,,Jones and Estes (2006),-3.611111111111111,-3.275,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-4.055555555555555,-3.35,7.21875,sapienzanlp/Minerva-350M-base-v1.0
107,dibattito,lanterna,Debate is a lantern.,Il dibattito è una lanterna.,Il dibattito è come una lanterna.,,,3.21,3.18,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.3125,-4.083333333333333,6.78125,sapienzanlp/Minerva-1B-base-v1.0,-4.5,-3.8055555555555554,6.0625,sapienzanlp/Minerva-350M-base-v1.0
108,marito,gioiello,Her husband is a gem.,Suo marito è un gioiello.,Suo marito è come un gioiello.,,,3.45,4.97,High,,,,,,,,,,,,,Jones and Estes (2006),-5.270833333333333,-5.0,7.1875,sapienzanlp/Minerva-1B-base-v1.0,-5.416666666666667,-4.964285714285714,6.125,sapienzanlp/Minerva-350M-base-v1.0
109,ex marito,gioiello,Her ex-husband is a gem.,Il suo ex marito è un gioiello.,Il suo ex marito è come un gioiello.,,,3.45,3.64,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.875,-4.611111111111111,6.78125,sapienzanlp/Minerva-1B-base-v1.0,-4.84375,-4.416666666666667,6.1875,sapienzanlp/Minerva-350M-base-v1.0
110,gallo,sveglia,A rooster is an alarm clock.,Un gallo è una sveglia.,Un gallo è come una sveglia.,,,3.48,5.52,High,,,,,,,,,,,,,Jones and Estes (2006),-5.321428571428571,-5.46875,6.15625,sapienzanlp/Minerva-1B-base-v1.0,-5.5,-4.9375,6.75,sapienzanlp/Minerva-350M-base-v1.0
111,pettirosso,sveglia,A robin is an alarm clock.,Un pettirosso è una sveglia.,Un pettirosso è come una sveglia.,,,3.48,3.88,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.59375,-4.25,6.0,sapienzanlp/Minerva-1B-base-v1.0,-4.8125,-4.25,6.84375,sapienzanlp/Minerva-350M-base-v1.0
112,corso di informatica,barzelletta,My computer skills course is a joke.,Il mio corso di informatica è una barzelletta.,Il mio corso di informatica è come una barzelletta.,,,3.52,5.48,High,,,,,,,,,,,,,Jones and Estes (2006),-3.4166666666666665,-3.3076923076923075,6.5625,sapienzanlp/Minerva-1B-base-v1.0,-3.3541666666666665,-3.3076923076923075,6.25,sapienzanlp/Minerva-350M-base-v1.0
113,corso di chimica organica,barzelletta,My organic chemistry course is a joke.,Il mio corso di chimica organica è una barzelletta.,Il mio corso di chimica organica è come una barzelletta.,,,3.52,4.31,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.267857142857143,-3.1666666666666665,6.5625,sapienzanlp/Minerva-1B-base-v1.0,-3.1964285714285716,-3.1666666666666665,7.03125,sapienzanlp/Minerva-350M-base-v1.0
114,mente,arena,The mind is an arena.,La mente è un'arena.,La mente è come un'arena.,,,3.55,4.72,High,,,,,,,,,,,,,Jones and Estes (2006),-3.578125,-3.25,7.25,sapienzanlp/Minerva-1B-base-v1.0,-3.421875,-3.3333333333333335,6.4375,sapienzanlp/Minerva-350M-base-v1.0
115,subconscio,arena,The subconscious is an arena.,Il subconscio è un'arena.,Il subconscio è come un'arena.,,,3.55,4.03,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.525,-3.1818181818181817,6.6875,sapienzanlp/Minerva-1B-base-v1.0,-3.55,-3.2954545454545454,6.1875,sapienzanlp/Minerva-350M-base-v1.0
116,negozi,giungle,Many stores are jungles.,Molti negozi sono giungle.,Molti negozi sono come giungle.,,,3.55,4.36,High,,,,,,,,,,,,,Jones and Estes (2006),-6.791666666666667,-5.75,7.1875,sapienzanlp/Minerva-1B-base-v1.0,-6.75,-6.178571428571429,6.96875,sapienzanlp/Minerva-350M-base-v1.0
117,spiagge,giungle,Many beaches are jungles.,Molte spiagge sono giungle.,Molte spiagge sono come giungle.,,,3.55,2.24,Low,,,,,,,,,,,,,Jones and Estes (2006),-6.541666666666667,-5.321428571428571,7.46875,sapienzanlp/Minerva-1B-base-v1.0,-6.625,-5.821428571428571,6.8125,sapienzanlp/Minerva-350M-base-v1.0
118,classe dell'asilo,zoo,His kindergarten class is a zoo.,La sua classe dell'asilo è uno zoo.,La sua classe dell'asilo è come uno zoo.,,,3.58,5.69,High,,,,,,,,,,,,,Jones and Estes (2006),-4.354166666666667,-4.115384615384615,6.25,sapienzanlp/Minerva-1B-base-v1.0,-4.020833333333333,-3.8846153846153846,6.25,sapienzanlp/Minerva-350M-base-v1.0
119,classe universitaria,zoo,His college class is a zoo.,La sua classe universitaria è uno zoo.,La sua classe universitaria è come uno zoo.,,,3.58,4.64,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.55,-4.318181818181818,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-4.425,-4.045454545454546,6.9375,sapienzanlp/Minerva-350M-base-v1.0
120,vialetto,pista di pattinaggio,The driveway is an ice rink.,Il vialetto è una pista di pattinaggio.,Il vialetto è come una pista di pattinaggio.,,,3.64,4.0,High,,,,,,,,,,,,,Jones and Estes (2006),-3.0,-2.75,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-3.0416666666666665,-2.7884615384615383,7.5625,sapienzanlp/Minerva-350M-base-v1.0
121,prato,pista di pattinaggio,The front lawn is an ice rink.,Il prato davanti casa è una pista di pattinaggio.,Il prato davanti casa è come una pista di pattinaggio.,,,3.64,2.86,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.230769230769231,-2.982142857142857,6.3125,sapienzanlp/Minerva-1B-base-v1.0,-3.1538461538461537,-2.9285714285714284,6.84375,sapienzanlp/Minerva-350M-base-v1.0
122,esame finale di geografia,impresa,Her final exam in Geography was a bear.,Il suo esame finale di geografia era un'impresa.,Il suo esame finale di geografia era come un'impresa.,,,3.73,3.41,High,,,,,,,,,,,,,Jones and Estes (2006),-4.5625,-4.519230769230769,6.3125,sapienzanlp/Minerva-1B-base-v1.0,-4.333333333333333,-4.4423076923076925,6.3125,sapienzanlp/Minerva-350M-base-v1.0
123,estati libere,impresa,Having summers off was a bear.,Avere le estati libere era un'impresa.,Avere le estati libere era come un'impresa.,,,3.73,2.12,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.25,-4.3125,6.25,sapienzanlp/Minerva-1B-base-v1.0,-4.431818181818182,-4.666666666666667,6.25,sapienzanlp/Minerva-350M-base-v1.0
124,bugia,pugnale,A lie is a dagger.,Una bugia è un pugnale.,Una bugia è come un pugnale.,,,3.73,5.69,High,,,,,,,,,,,,,Jones and Estes (2006),-3.8333333333333335,-3.25,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-3.638888888888889,-3.45,6.28125,sapienzanlp/Minerva-350M-base-v1.0
125,desiderio,pugnale,A wish is a dagger.,Un desiderio è un pugnale.,Un desiderio è come un pugnale.,,,3.73,2.48,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.21875,-3.861111111111111,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-4.53125,-4.083333333333333,6.75,sapienzanlp/Minerva-350M-base-v1.0
126,brutta notizia,terremoto,The bad news was an earthquake.,La brutta notizia è stata un terremoto.,La brutta notizia è stata come un terremoto.,,,3.85,4.79,High,,,,,,,,,,,,,Jones and Estes (2006),-4.5,-4.027777777777778,6.84375,sapienzanlp/Minerva-1B-base-v1.0,-4.03125,-4.138888888888889,6.5,sapienzanlp/Minerva-350M-base-v1.0
127,buona notizia,terremoto,The good news was an earthquake.,La buona notizia è stata un terremoto.,La buona notizia è stata come un terremoto.,,,3.85,2.0,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.59375,-4.055555555555555,6.96875,sapienzanlp/Minerva-1B-base-v1.0,-4.03125,-4.083333333333333,6.375,sapienzanlp/Minerva-350M-base-v1.0
128,zoo,museo,A zoo is a museum.,Uno zoo è un museo.,Uno zoo è come un museo.,,,3.94,4.14,High,,,,,,,,,,,,,Jones and Estes (2006),-3.946428571428572,-3.96875,8.0,sapienzanlp/Minerva-1B-base-v1.0,-3.7142857142857144,-3.5,6.6875,sapienzanlp/Minerva-350M-base-v1.0
129,conferenza,museo,A conference is a museum.,Una conferenza è un museo.,Una conferenza è come un museo.,,,3.94,2.48,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.708333333333333,-5.035714285714286,7.40625,sapienzanlp/Minerva-1B-base-v1.0,-5.625,-4.714285714285714,6.1875,sapienzanlp/Minerva-350M-base-v1.0
130,avventura,montagna russa,Adventure is a roller coaster.,L'avventura è una montagna russa.,L'avventura è come una montagna russa.,,,3.97,5.66,High,,,,,,,,,,,,,Jones and Estes (2006),-3.65625,-3.4722222222222223,6.65625,sapienzanlp/Minerva-1B-base-v1.0,-3.8125,-3.4305555555555554,6.9375,sapienzanlp/Minerva-350M-base-v1.0
131,viaggiare,montagna russa,Traveling is a roller coaster.,Viaggiare è una montagna russa.,Viaggiare è come una montagna russa.,,,3.97,4.79,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.357142857142857,-3.671875,6.875,sapienzanlp/Minerva-1B-base-v1.0,-4.321428571428571,-3.609375,6.65625,sapienzanlp/Minerva-350M-base-v1.0
132,impronta digitale,ritratto,That criminal's fingerprint is a portrait.,L'impronta digitale di quel criminale è un ritratto.,L'impronta digitale di quel criminale è come un ritratto.,,,4.03,4.85,High,,,,,,,,,,,,,Jones and Estes (2006),-4.3125,-4.230769230769231,7.125,sapienzanlp/Minerva-1B-base-v1.0,-4.125,-3.9423076923076925,6.25,sapienzanlp/Minerva-350M-base-v1.0
133,percorso,ritratto,That criminal's pathway is a portrait.,Il percorso di quel criminale è un ritratto.,Il percorso di quel criminale è come un ritratto.,,,4.03,2.79,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.583333333333333,-5.125,6.75,sapienzanlp/Minerva-1B-base-v1.0,-5.694444444444445,-5.4,6.40625,sapienzanlp/Minerva-350M-base-v1.0
134,insegnanti,enciclopedie,Some teachers are encyclopedias.,Alcuni insegnanti sono enciclopedie.,Alcuni insegnanti sono come enciclopedie.,,,4.09,5.64,High,,,,,,,,,,,,,Jones and Estes (2006),-5.125,-4.777777777777778,7.5,sapienzanlp/Minerva-1B-base-v1.0,-5.21875,-4.75,7.03125,sapienzanlp/Minerva-350M-base-v1.0
135,allenatori,enciclopedie,Some coaches are encyclopedias.,Alcuni allenatori sono enciclopedie.,Alcuni allenatori sono come enciclopedie.,,,4.09,3.31,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.638888888888889,-4.45,7.375,sapienzanlp/Minerva-1B-base-v1.0,-4.777777777777778,-4.45,6.5625,sapienzanlp/Minerva-350M-base-v1.0
136,nonna,pesca,My grandmother is a peach.,Mia nonna è una pesca.,Mia nonna è come una pesca.,,,4.09,4.82,High,,,,,,,,,,,,,Jones and Estes (2006),-5.375,-4.821428571428571,7.25,sapienzanlp/Minerva-1B-base-v1.0,-6.291666666666667,-5.571428571428571,6.0,sapienzanlp/Minerva-350M-base-v1.0
137,ragazzo,pesca,My boyfriend is a peach.,Il mio ragazzo è una pesca.,Il mio ragazzo è come una pesca.,,,4.09,3.41,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.642857142857143,-4.1875,5.90625,sapienzanlp/Minerva-1B-base-v1.0,-4.964285714285714,-4.53125,6.0625,sapienzanlp/Minerva-350M-base-v1.0
138,peperoncini jalapeño,fuoco,Jalapeño peppers are fire.,I peperoncini jalapeño sono fuoco.,I peperoncini jalapeño sono come fuoco.,,,4.12,5.03,High,,,,,,,,,,,,,Jones and Estes (2006),-4.0,-3.8541666666666665,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-4.295454545454546,-3.8958333333333335,7.5625,sapienzanlp/Minerva-350M-base-v1.0
139,peperoni,fuoco,Bell peppers are fire.,I peperoni sono fuoco.,I peperoni sono come fuoco.,,,4.12,3.97,Low,,,,,,,,,,,,,Jones and Estes (2006),-6.291666666666667,-5.607142857142857,7.25,sapienzanlp/Minerva-1B-base-v1.0,-5.583333333333333,-4.964285714285714,7.375,sapienzanlp/Minerva-350M-base-v1.0
140,divorzi,tempeste,Some divorces are storms.,Alcuni divorzi sono tempeste.,Alcuni divorzi sono come tempeste.,,,4.12,5.7,High,,,,,,,,,,,,,Jones and Estes (2006),-6.035714285714286,-5.34375,6.5,sapienzanlp/Minerva-1B-base-v1.0,-5.642857142857143,-5.5,6.25,sapienzanlp/Minerva-350M-base-v1.0
141,adozioni,tempeste,Some adoptions are storms.,Alcune adozioni sono tempeste.,Alcune adozioni sono come tempeste.,,,4.12,2.59,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.392857142857143,-5.21875,6.6875,sapienzanlp/Minerva-1B-base-v1.0,-5.785714285714286,-5.625,6.78125,sapienzanlp/Minerva-350M-base-v1.0
142,sarcasmo,velo,Sarcasm is a veil.,Il sarcasmo è un velo.,Il sarcasmo è come un velo.,,,4.15,4.67,High,,,,,,,,,,,,,Jones and Estes (2006),-4.4375,-3.9166666666666665,7.375,sapienzanlp/Minerva-1B-base-v1.0,-4.5,-3.9722222222222223,6.53125,sapienzanlp/Minerva-350M-base-v1.0
143,ostilità,velo,Hostility is a veil.,L'ostilità è un velo.,L'ostilità è come un velo.,,,4.15,3.79,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.375,-3.861111111111111,7.15625,sapienzanlp/Minerva-1B-base-v1.0,-4.125,-3.75,7.5,sapienzanlp/Minerva-350M-base-v1.0
144,musica,medicina,Music can be medicine.,La musica è una medicina.,La musica è come una medicina.,,,4.18,6.18,High,,,,,,,,,,,,,Jones and Estes (2006),-3.6666666666666665,-3.3035714285714284,7.34375,sapienzanlp/Minerva-1B-base-v1.0,-3.8333333333333335,-3.5,5.90625,sapienzanlp/Minerva-350M-base-v1.0
145,reality show,medicina,Reality TV can be medicine.,I reality show sono una medicina.,I reality show sono come una medicina.,,,4.18,2.69,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.964285714285714,-4.5,7.125,sapienzanlp/Minerva-1B-base-v1.0,-5.142857142857143,-4.34375,5.9375,sapienzanlp/Minerva-350M-base-v1.0
