ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N°interpretations,Strength,resources
142,sarcasmo,velo,Sarcasm is a veil.,Il sarcasmo è un velo.,Il sarcasmo è come un velo.,,,4.15,4.67,High,,,,,,,,,,,,,Jones and Estes (2006)
143,ostilità,velo,Hostility is a veil.,L'ostilità è un velo.,L'ostilità è come un velo.,,,4.15,3.79,Low,,,,,,,,,,,,,Jones and Estes (2006)
144,musica,medicina,Music can be medicine.,La musica è una medicina.,La musica è come una medicina.,,,4.18,6.18,High,,,,,,,,,,,,,Jones and Estes (2006)
145,reality show,medicina,Reality TV can be medicine.,I reality show sono una medicina.,I reality show sono come una medicina.,,,4.18,2.69,Low,,,,,,,,,,,,,Jones and Estes (2006)
146,modella,acciuga,That fashion model is a rail.,Quella modella è un'acciuga.,Quella modella è come un'acciuga.,,,4.21,5.3,High,,,,,,,,,,,,,Jones and Estes (2006)
147,calciatore,acciuga,That football player is a rail.,Quel calciatore è un'acciuga.,Quel calciatore è come un'acciuga.,,,4.21,2.28,Low,,,,,,,,,,,,,Jones and Estes (2006)
148,alcol,stampella,Alcohol is a crutch.,L'alcol è una stampella.,L'alcol è come una stampella.,,,4.36,4.52,High,,,,,,,,,,,,,Jones and Estes (2006)
149,pizza,stampella,Pizza is a crutch.,La pizza è una stampella.,La pizza è come una stampella.,,,4.36,2.33,Low,,,,,,,,,,,,,Jones and Estes (2006)
150,ballerini,farfalle,Dancers can be butterflies.,I ballerini sono farfalle.,I ballerini sono come farfalle.,,,4.39,4.66,High,,,,,,,,,,,,,Jones and Estes (2006)
151,calciatori,farfalle,Soccer players can be butterflies.,I calciatori sono farfalle.,I calciatori sono come farfalle.,,,4.39,2.64,Low,,,,,,,,,,,,,Jones and Estes (2006)
152,disciplina,fertilizzante,Discipline is fertilizer.,La disciplina è un fertilizzante.,La disciplina è come un fertilizzante.,,,4.61,3.38,High,,,,,,,,,,,,,Jones and Estes (2006)
153,controllo,fertilizzante,Control is fertilizer.,Il controllo è un fertilizzante.,Il controllo è come un fertilizzante.,,,4.61,2.73,Low,,,,,,,,,,,,,Jones and Estes (2006)
154,albero,ombrello,A tree is an umbrella.,Un albero è un ombrello.,Un albero è come un ombrello.,,,4.61,4.21,High,,,,,,,,,,,,,Jones and Estes (2006)
155,rivista,ombrello,A magazine is an umbrella.,Una rivista è un ombrello.,Una rivista è come un ombrello.,,,4.61,2.15,Low,,,,,,,,,,,,,Jones and Estes (2006)
156,amore,fiore,Love is a flower.,L'amore è un fiore.,L'amore è come un fiore.,,,4.64,5.34,High,,,,,,,,,,,,,Jones and Estes (2006)
157,odio,fiore,Hatred is a flower.,L'odio è un fiore.,L'odio è come un fiore.,,,4.64,1.85,Low,,,,,,,,,,,,,Jones and Estes (2006)
158,voci,sirene,Some voices are sirens.,Alcune voci sono sirene.,Alcune voci sono come sirene.,,,4.64,5,High,,,,,,,,,,,,,Jones and Estes (2006)
159,russamenti,sirene,Some snores are sirens.,Alcuni russamenti sono sirene.,Alcuni russamenti sono come sirene.,,,4.64,3.76,Low,,,,,,,,,,,,,Jones and Estes (2006)
160,receptionist,boccata d'aria fresca,That receptionist is a breath of fresh air.,Quella receptionist è una boccata d'aria fresca.,Quella receptionist è come una boccata d'aria fresca.,,,4.7,4.52,High,,,,,,,,,,,,,Jones and Estes (2006)
161,contabile,boccata d'aria fresca,That accountant is a breath of fresh air.,Quel contabile è una boccata d'aria fresca.,Quel contabile è come una boccata d'aria fresca.,,,4.7,3.38,Low,,,,,,,,,,,,,Jones and Estes (2006)
162,migliore amico,ancora,A best friend is an anchor.,Un migliore amico è un'ancora.,Un migliore amico è come un'ancora.,,,4.79,6.07,High,,,,,,,,,,,,,Jones and Estes (2006)
163,avversario,ancora,An opponent is an anchor.,Un avversario è un'ancora.,Un avversario è come un'ancora.,,,4.79,2.94,Low,,,,,,,,,,,,,Jones and Estes (2006)
164,matrimonio,guinzaglio corto,His marriage was a short leash.,Il suo matrimonio era un guinzaglio corto.,Il suo matrimonio era come un guinzaglio corto.,,,4.79,4,High,,,,,,,,,,,,,Jones and Estes (2006)
165,ufficio,guinzaglio corto,His office was a short leash.,Il suo ufficio era un guinzaglio corto.,Il suo ufficio era come un guinzaglio corto.,,,4.79,2.52,Low,,,,,,,,,,,,,Jones and Estes (2006)
166,folla esultante,tuono,The cheering crowd was thunder.,La folla esultante era un tuono.,La folla esultante era come un tuono.,,,4.79,5.39,High,,,,,,,,,,,,,Jones and Estes (2006)
167,giocatore di basket,tuono,The basketball player was thunder.,Il giocatore di basket era un tuono.,Il giocatore di basket era come un tuono.,,,4.79,2.76,Low,,,,,,,,,,,,,Jones and Estes (2006)
168,Grandi Pianure,tavoliere,The Great Plains are a board.,Le Grandi Pianure sono un tavoliere.,Le Grandi Pianure sono come un tavoliere.,,,4.82,2.76,High,,,,,,,,,,,,,Jones and Estes (2006)
169,spiagge costiere,tavoliere,The coastal beaches are a board.,Le spiagge costiere sono un tavoliere.,Le spiagge costiere sono come un tavoliere.,,,4.82,1.9,Low,,,,,,,,,,,,,Jones and Estes (2006)
170,laurea,porta d'accesso,A college degree is a doorway.,Una laurea è una porta d'accesso.,Una laurea è come una porta d'accesso.,,,4.94,6.07,High,,,,,,,,,,,,,Jones and Estes (2006)
171,completamento di un corso,porta d'accesso,A course completion is a doorway.,Il completamento di un corso è una porta d'accesso.,Il completamento di un corso è come una porta d'accesso.,,,4.94,4.24,Low,,,,,,,,,,,,,Jones and Estes (2006)
172,sorrisi,magneti,Some smiles are magnets.,Alcuni sorrisi sono magneti.,Alcuni sorrisi sono come magneti.,,,4.94,5.39,High,,,,,,,,,,,,,Jones and Estes (2006)
173,lacrime,magneti,Some tears are magnets.,Alcune lacrime sono magneti.,Alcune lacrime sono come magneti.,,,4.94,3,Low,,,,,,,,,,,,,Jones and Estes (2006)
174,giovane cugino,gamberetto,My young cousin is a shrimp.,Il mio giovane cugino è un gamberetto.,Il mio giovane cugino è come un gamberetto.,,,5.03,4.85,High,,,,,,,,,,,,,Jones and Estes (2006)
175,padre,gamberetto,My father is a shrimp.,Mio padre è un gamberetto.,Mio padre è come un gamberetto.,,,5.03,3.52,Low,,,,,,,,,,,,,Jones and Estes (2006)
176,maggiordomi,asini,Butlers can be donkeys.,I maggiordomi sono asini.,I maggiordomi sono come asini.,,,5.06,2.64,High,,,,,,,,,,,,,Jones and Estes (2006)
177,nonni,asini,Grandparents can be donkeys.,I nonni sono asini.,I nonni sono come asini.,,,5.06,1.79,Low,,,,,,,,,,,,,Jones and Estes (2006)
178,modelle,ramoscelli,Some fashion models are twigs.,Alcune modelle sono ramoscelli.,Alcune modelle sono come ramoscelli.,,,5.06,6.15,High,,,,,,,,,,,,,Jones and Estes (2006)
179,nuotatori,ramoscelli,Some swimmers are twigs.,Alcuni nuotatori sono ramoscelli.,Alcuni nuotatori sono come ramoscelli.,,,5.06,3.24,Low,,,,,,,,,,,,,Jones and Estes (2006)
180,amore,viaggio,Love is a journey.,L'amore è un viaggio.,L'amore è come un viaggio.,,,5.09,6.48,High,,,,,,,,,,,,,Jones and Estes (2006)
181,sogno,viaggio,A dream is a journey.,Un sogno è un viaggio.,Un sogno è come un viaggio.,,,5.09,5.69,Low,,,,,,,,,,,,,Jones and Estes (2006)
182,donna incinta,anatra,That pregnant woman is a duck.,Quella donna incinta è un'anatra.,Quella donna incinta è come un'anatra.,,,5.21,2.82,High,,,,,,,,,,,,,Jones and Estes (2006)
183,professore,anatra,That professor is a duck.,Quel professore è un'anatra.,Quel professore è come un'anatra.,,,5.21,2,Low,,,,,,,,,,,,,Jones and Estes (2006)
184,cani,principesse,Some dogs are princesses.,Alcuni cani sono principesse.,Alcuni cani sono come principesse.,,,5.27,4.33,High,,,,,,,,,,,,,Jones and Estes (2006)
185,criceti,principesse,Some hamsters are princesses.,Alcuni criceti sono principesse.,Alcuni criceti sono come principesse.,,,5.27,1.97,Low,,,,,,,,,,,,,Jones and Estes (2006)
186,pelo del gatto,seta,My cat's fur is silk.,Il pelo del mio gatto è seta.,Il pelo del mio gatto è come seta.,,,5.3,4.88,High,,,,,,,,,,,,,Jones and Estes (2006)
187,pelo del topo,seta,My rat's fur is silk.,Il pelo del mio topo è seta.,Il pelo del mio topo è come seta.,,,5.3,2.76,Low,,,,,,,,,,,,,Jones and Estes (2006)
188,libri,scrigni del tesoro,Books are treasure chests.,I libri sono scrigni del tesoro.,I libri sono come scrigni del tesoro.,,,5.3,5.66,High,,,,,,,,,,,,,Jones and Estes (2006)
189,tabloid,scrigni del tesoro,Tabloids are treasure chests.,I tabloid sono scrigni del tesoro.,I tabloid sono come scrigni del tesoro.,,,5.3,2.67,Low,,,,,,,,,,,,,Jones and Estes (2006)
190,corridori,ghepardi,Some runners are cheetahs.,Alcuni corridori sono ghepardi.,Alcuni corridori sono come ghepardi.,,,5.45,5.64,High,,,,,,,,,,,,,Jones and Estes (2006)
191,pattinatori,ghepardi,Some skaters are cheetahs.,Alcuni pattinatori sono ghepardi.,Alcuni pattinatori sono come ghepardi.,,,5.45,2.62,Low,,,,,,,,,,,,,Jones and Estes (2006)
192,lavori,prigioni,Many jobs are jails.,Molti lavori sono prigioni.,Molti lavori sono come prigioni.,,,5.48,4.88,High,,,,,,,,,,,,,Jones and Estes (2006)
193,squadre,prigioni,Many teams are jails.,Molte squadre sono prigioni.,Molte squadre sono come prigioni.,,,5.48,1.93,Low,,,,,,,,,,,,,Jones and Estes (2006)
194,tempo,denaro,Time is money.,Il tempo è denaro.,Il tempo è come denaro.,,,5.52,5.88,High,,,,,,,,,,,,,Jones and Estes (2006)
195,conoscenza,denaro,Knowledge is money.,La conoscenza è denaro.,La conoscenza è come denaro.,,,5.52,5,Low,,,,,,,,,,,,,Jones and Estes (2006)
196,pianeta Terra,palla,The planet Earth is a ball.,Il pianeta Terra è una palla.,Il pianeta Terra è come una palla.,,,5.55,4.61,High,,,,,,,,,,,,,Jones and Estes (2006)
197,stella,palla,The nearest star is a ball.,La stella più vicina è una palla.,La stella più vicina è come una palla.,,,5.55,2.45,Low,,,,,,,,,,,,,Jones and Estes (2006)
198,uccelli,aerei,Birds are airplanes.,Gli uccelli sono aerei.,Gli uccelli sono come aerei.,,,5.61,3.7,High,,,,,,,,,,,,,Jones and Estes (2006)
199,pipistrelli,aerei,Bats are airplanes.,I pipistrelli sono aerei.,I pipistrelli sono come aerei.,,,5.61,2.14,Low,,,,,,,,,,,,,Jones and Estes (2006)
200,idee,diamanti,Ideas can be diamonds.,Le idee sono diamanti.,Le idee sono come diamanti.,,,5.73,5.62,High,,,,,,,,,,,,,Jones and Estes (2006)
201,recensioni,diamanti,Reviews can be diamonds.,Le recensioni sono diamanti.,Le recensioni sono come diamanti.,,,5.73,3.91,Low,,,,,,,,,,,,,Jones and Estes (2006)
202,rabbia,vulcano,Anger is a volcano.,La rabbia è un vulcano.,La rabbia è come un vulcano.,,,5.73,5.62,High,,,,,,,,,,,,,Jones and Estes (2006)
203,tristezza,vulcano,Sadness is a volcano.,La tristezza è un vulcano.,La tristezza è come un vulcano.,,,5.73,3.76,Low,,,,,,,,,,,,,Jones and Estes (2006)
204,senatore,fossile,The senator is a fossil.,Il senatore è un fossile.,Il senatore è come un fossile.,,,5.76,4.52,High,,,,,,,,,,,,,Jones and Estes (2006)
205,campione di atletica,fossile,The track star is a fossil.,Il campione di atletica è un fossile.,Il campione di atletica è come un fossile.,,,5.76,2.24,Low,,,,,,,,,,,,,Jones and Estes (2006)
206,braccia del ragazzo,acciaio,My boyfriend's arms are steel.,Le braccia del mio ragazzo sono acciaio.,Le braccia del mio ragazzo sono come acciaio.,,,5.76,5.36,High,,,,,,,,,,,,,Jones and Estes (2006)
207,gambe del nonno,acciaio,My grandfather's legs are steel.,Le gambe di mio nonno sono acciaio.,Le gambe di mio nonno sono come acciaio.,,,5.76,3.45,Low,,,,,,,,,,,,,Jones and Estes (2006)
208,camera da letto,discarica,That bedroom is a dump.,Quella camera da letto è una discarica.,Quella camera come da letto è una discarica.,,,5.82,5.52,High,,,,,,,,,,,,,Jones and Estes (2006)
209,sala conferenze,discarica,That conference room is a dump.,Quella sala conferenze è una discarica.,Quella sala conferenze è come una discarica.,,,5.82,4.79,Low,,,,,,,,,,,,,Jones and Estes (2006)
210,memoria,magazzino,Memory is a warehouse.,La memoria è un magazzino.,La memoria è come un magazzino.,,,5.85,5.52,High,,,,,,,,,,,,,Jones and Estes (2006)
211,intelligenza,magazzino,Intelligence is a warehouse.,L'intelligenza è un magazzino.,L'intelligenza è come un magazzino.,,,5.85,3.38,Low,,,,,,,,,,,,,Jones and Estes (2006)
